English,konkani,Sentiment
Premchand to deliver great storyteller living we all benefit.,प्रेमचंदाक महान कलाकार आसपांतूच आमचो सगळ्यांचो फायदो आसा.,Positive
Tea is also a fierce enemy of health.,च्या लेगीत भलायकेचो एक भयंकर दुस्मान.,Neutral
Some events are free at Grand Kenyan Park.,ग्रॅण्ड कॅनयाना पार्कांत कांय कार्यावळी फुकट आसतात.,Positive
Many types of hormones are produced from pituitary gland.,पियुशिका ग्रंथी पसून कितल्याश्याच तरांचे अंतस्राव तयार जातात.,Positive
Keep weighing your body on a weekly basis.,आपल्या कुडीच्या साप्‍ताहिक आदाराचेर मापात.,Neutral
Experience showed that Snow Fluke is better than Dadman.,स्नो फ्लूक डॅडमॅना परसूय चड बरे आसतात हें अणभवा वयल्यान कळ्ळें.,Positive
"Drama Company's base where navigation, go to them as well.","नाटक कंपनी ज्या जाग्यांचेर भोंवडी करताली, ताकाय बी वांगडा वच्चें पडटालें.",Negative
Soak the feet in cold water and bake.,पांय थंड उदकांत भिजोवन तांकां शेक मारचो.,Negative
"By repeating this action, good quality flowers are produced.",ही क्रिया करीत राविल्ल्यान बऱ्या गुणवत्तायुक्‍त फुलांचें उत्पादन जाता.,Positive
The success of papaya cultivation depends on temperature.,पोपायेचे शेतीची सफळटा तापमानाचेर आदारीत आसता.,Positive
"Movie love, ambition, and found politics is a mixed version.","सिनेमा मोग, म्हत्त्वाकांक्षा, आनी राजनितीचें एकसारकें संस्करण आसा.",Positive
Symptoms: There can be many reasons for increasing heart.,लक्षण : काळीज वाडपाचीं कांय कारणां जावं येतात.,Positive
Pimples are painful in any part of the body.,"फोड कुडीच्या खंयच्याय भागार जावं, त्रास दिवपी आसतात.",Negative
His childhood was spent in the lap of nature.,हांचें भुरगेपण सैमाच्या गोपांत गेलें.,Neutral
Third stage suitable for reproduction (14 to 28).,तिसरो पांवडो गर्भधारणेक फावो तसो ( 14 ते 28 ).,Positive
Thus remains the dependence of farmers on exploitative lenders.,देखून शोशण करपी सावकारांचेर शेतकार निर्भर आसतात.,Negative
"Tabla playing was hard to look away, to speak.","तबलें वाजोवप तर पयसूच उरलें, उलोवप लेगीत कठीण जावपाक लागलें.",Negative
Good conditioners can also be prepared by some home appliances.,कांय घरगुत्या साधनां वरवीं लेगीत बरे कंडिशनर तयार करूं येता.,Positive
So take 'power breathingat least three times a day.,देखून उण्यांत उण्या दिसांनी तीन फावटीं  पावर ब्रिदींग  घेयात.,Negative
Treatment can be done by the mother at home.,उपचार घरा कडेन आवय वरवीं जावं येता.,Neutral
They were very famous musician of his time.,तो ताच्या काळांतलो व्हड फामाद संगीत तज्ञ आशिल्लो.,Positive
"In this operation, the ducts of the woman are closed.",ह्या ओपेरासांवांत बायलेच्यो नळयो बंद करतात.,Neutral
Finish harvesting in the evening or before 1 am.,कापणी सांजेच्या वेळार वा मागीर सकाळचे १० वरां पयली काबार करचीं.,Neutral
He can not write good things to appease both sides.,तो दोनूय पक्षांक खूश करपा खातीर बर्‍यो गजाली बरोवंक शकना.,Positive
It is frost and very sensitive to strong wind.,हे बर्फ आनी नेटाच्या वाऱ्या खातीर खूब संवेदनशीळ आसा.,Positive
Paraffin or corn wax is commonly used for waxing.,मेणकाम हेतूत सादारणपणान पॅराफीन वा कारनॉबा मेणाचो उपेग करतात.,Negative
The neck should use a hard throne to sleep.,मानेच्या दुयेंतीन न्हिदपा खातीर घट्‌ट गादयेचो वापर करपाक जाय.,Negative
The terrible earthquake in 1907 completely destroyed the city.,1907त जाल्या भिरांकूळ भुंयकांपांत ह्या शाराक पुरायपणान उध्वस्त केल्लें.,Negative
This is a serious health problem for women.,ही बायलांचे भलायके कडेन जोडिल्ली गंभीर समस्या.,Negative
"We reached Jaswantgarh after crossing 'Lau', Jung, from Tawang.","तवांगा सावन  लावू  , जंग , पार करून आमी जसवन्तगढ़ पावले.",Neutral
Agriculture foreigners and management than local farmers more efficient.,विदेशांची कृशी वेवस्था आनी मांडणी स्थानीक शेतकारांच्या तुळेन चड कुशळ आशिल्ली.,Positive
Eat one piece of it stale in the morning.,हाचें एक नग सकाळीं तोंड धुयनासतना खावचें.,Negative
Do they express their anger or endure it silently?,ते आपलो राग उकतायतात वा ओगी रावन आयकतात ?,Negative
Farmers are required to first provide more facilities than ever.,शेतकारांक पयलीं सावनच खुबश्यों सोयी प्राप्त करपाची गरज आसा.,Positive
Mukhba region is famous for its wood art,मुखबा वाठार आपले काश्टकले खातीर प्रसिद्ध आसा.,Positive
Men often get this disease from sexual intercourse with prostitutes.,दादल्यांक ही पिडा चड करून वेश्यां कडेन संभोग केल्ल्यान जाता.,Positive
Amla is beneficial in bile disorders due to being cold.,आंवाळो शीतवीर्य आशिल्ल्यान पित्ताच्या दुयेंसांनी रोखडोच लाब करता.,Negative
"Similarly, the non-existent invasion of the shoot fly (Sutflai).",ह्याच तरेन प्ररोह मुसाचे ( शूटफ्लाय ) आक्रमणय नाशिल्ल्या भशेन आसता.,Positive
There are many caves in the mountains of Banari.,बनारीच्या दोंगरांचेर साबार होंवर्‍यो आसात.,Positive
"Chillar Citnn ""After the second Satire collection of live.",चिल्लर चितंन  हाचे उपरांत खरेचो हो दुसरो व्यंग्य संग्रह.,Neutral
Winter Ginger tea gives relief from the cold.,थंडेक आल्याची च्या थकाय दिता.,Negative
One of these places is where very few tourists go.,"हातूंत एक सुवात अशी आसा , जंय खूब उणे भोंवडेकार वतात.",Negative
Many temples were built under the Katyuri regime.,कत्यूरी शासना वेळार जायतीं देवळां बांदिल्लीं.,Positive
Make fresh salad dishes for tasty and nutritious salads.,रुचीक आनी पुश्टीक सालादा खातीर सालाद तयार करपाच्यो वस्तू ताज्यो घेवच्यो.,Positive
"For the method of Bhujangasana, lie down on your stomach.",भुजंगासनाच्या विधी खातीर पोटाचेर न्हिदात.,Neutral
Nowadays men are also appointed in many parlors.,हालीं कितल्याश्याच पार्लरांनी दादल्यांकूय नियुक्त करतात.,Positive
But allergies are caused by cold smoke and dust.,"पूण एलर्जी, बारखूण, बी दुशीत धुंवर आनी धुल्ल हांचे पसून तयार जाता.",Negative
"These cocoons are usually oval, hard and brown.","हांचे कोकून चडशें तांतया आकाराचे, घट आनी मातये कोराच्या रंगाचे आसतात.",Negative
Should the child stop eating if he becomes ill?,भुरगें दुयेंत जाल्यार कितें खावप बंद करपाक जाय ?,Negative
They have been made by cutting the rocks.,हातूंत फातर कापून कुडी तयार केल्यात.,Negative
"Today, obesity among children is increasing horribly worldwide.",आयज भुरग्यां मदीं मोटेपण संवसारभर भयानाक रुपान वाडटा.,Negative
"These nature, reality, spiritual poet of human consciousness.","तो सैम, सत्य, अध्यात्म हाचे जीणे चेतनेचो कवी आसा.",Neutral
Were taught the great love of his disciples.,आपल्या शिश्यांक खूब मायेन शिकवण दितालो.,Positive
Sense they were unique among the write head story.,भावना प्रधान कथा बरोवप्या मदीं तो अपरूप आशिल्लो.,Positive
Common cells may also be affected by these drugs.,सादारण कोशिका लेगीत ह्या वखदांनी प्रभावीत जावं येतात.,Negative
Women Ms. Gangu singers By Hangul location is unique.,बायल गायिकां मदीं सुरश्री गंगू बाय हंगलाची सुवात आगळी आसा.,Positive
This method of water distillation is extremely important.,उदकाची अर्क काडपाची ही पद्दत खुबूच म्हत्वाची आसा.,Positive
The symptoms of dementia are as follows -,डिमॅन्शिया दुयेंसाचीं लक्षणां हे तरेचीं आसात.,Neutral
In which stone and marble statues of Ganesha are installed.,जातूंत गणेशाच्यो पाशाणी आनी संगमरवरी मुर्ती आसात.,Neutral
"Cancer arises from our wrong pickles, thought behaviors and diet.","कॅन्सर आमचे चुकीच्या आचार विचारान, वेव्हारान आनी अन्नान निर्माण जाता.",Negative
"A name Anantr rising this event had ""Srivir .",हें घडणूकेच्या उपरांत वर्द्धमानाचें नांव  श्रीवीर  हें पडलें.,Neutral
Murdeshwar is a good religious place located here.,हांगा आशिल्लें मुरडेश्वर एक बरें धार्मीक स्थळ.,Positive
Significantly Mary Kom Priyanka biopic movie is playing his role.,लक्षांत दवरपा सारकें म्हळ्यार मेरी कॉमाच्या बायोपीक सिनेमांत प्रियंका ताचें सवंग वठयता.,Positive
Leh Nagar does not get cold in July and August.,जुलय आनी ऑगस्टांत लेह शारांत शीं आसना.,Negative
"In the past, Mumbai was inhabited by Kolis and Dhivars.",पयलीं मुंबयंत कोळी आनी नुस्तेकार रावताले.,Negative
Boils and pimples are common problem due to diabetes.,गोड्यामुताक लागून कुडींत फोड येवप सामान्य समस्या.,Negative
"A man get too hard, but I'm in no hurry.","असो व्यक्ती मेळपाकय कठीण आसा, पूण म्हाका कसलीच ताकतीक ना.",Negative
Ubasi seems to be associated with waking and activism.,अशें दिसता की जांबयांचो संबंद उठपा कडेन आनी सक्रीयताये कडेन आसा.,Neutral
48 km from Mandar Bhagalpur Located in the south.,मंदार भागलपूर सावन ४८ कि.मी. दक्षिणेक आसा.,Neutral
Korchak was introduced to a wonderful adventure at that time.,कोर्चाकान त्या वेळार आनीक एक अजापीक धाडसाची वळख करून दिल्ली.,Positive
There can be no better chance to feel him.,तें अणभवपाची हाच्याक बरी संद आनीक खंयचीच आसूंक शकना.,Negative
Cm Shade plants morning's got the sun is very nice.,सेमी शेड झाडांक जर सकाळचें वत मेळ्ळें जाल्यार तांचे खातीर खूब बरें आसता.,Positive
Sahay was poet satire on politics almost bleak.,सहाय बी लागींलागीं धुमीला भशेन राजनितीचेर कटाक्ष करपी कवी आशिल्लो.,Negative
The amount of saliva increases in the patient.,पिडेस्ताचे लाळेचें प्रमाण वाडटा.,Neutral
Dakshineswar Kali Temple is 20 km from BBD Bagh.,दक्षिणेश्वर काली देवूळ बिंबीडी बाग सावन 22 किलोमिटरांचेर आसा.,Neutral
"Swimming and bathing in river, pond etc. is best.","न्हंयेंत, तळयेंत, बी पेंवन न्हायत जाल्यार सगल्यांत बरें.",Positive
"Those who have diabetes, Copper-T should not be attached.",जांकां गोड्यामुताचें आसा कॉपर-टी तांणी लेगीत लावंक जायना.,Neutral
"Similarly, chocolate causes the most harm to children.",हे तरेन चॉकलेट भुरग्यांचें सगल्यांत चड लुकसाण करता.,Positive
"Unfortunately, I started feeling the effects of height.",दुर्दैवान म्हाका उंचायेचो त्रास जाणवपाक लागिल्लो.,Negative
Featuring children that by nature they grow simulation are beloved.,भुरग्यांची विशेशताय अशी आसा की सभावान ती खूब अनुकरण प्रीय आसतात.,Positive
Lube items should be eaten in small quantities for this.,हाचे खातीर तेलकट जिनस उण्या प्रमाणांत खावंक जाय.,Negative
The concept of artificially augmenting groundwater is new.,भूंय जलाक कृत्रीम रुपांत विकसीत करपाची कल्पना नवीं आसा.,Negative
This well is surrounded by small Jain temples.,ही बांय ल्हान ल्हान जैन देवळांनी घेरल्या.,Negative
Orissa is like the best cultural museum in India.,ओरिसा भारताच्या सर्वस्रेश्ठ सांस्कृतीक संग्रहालया भशेन आसा.,Positive
"Usually, this question is a mystery to consumers.",सादारणपणान हो प्रस्न गिरायकां खातीर एक गुपीत.,Negative
"In India too, basil is being cultivated in many provinces.",भारतांत आतां जायत्या राज्यांत तुळशीची वेवसायीक शेती करपाक लागल्यात.,Positive
"Together, they form the water cycle of the earth.",हें दोनूय मेळून पृथ्वीच्या जलचक्राचो निर्माण करतात.,Neutral
This variety is frosty or excessively cold inhibitor.,ही जात बर्फ वा चड थंडेची आडावणी आसा.,Negative
"Symptoms: In this disease, the heart beats very hard.",लक्षण : ह्या दुयेंसांत काळीज खूब जोरान धडधडटा.,Negative
"Similarly, trade fair attracts food and food enthusiasts in particular.",अशे तरेन खावपा पियेवपाची आवड आशिल्ल्या लोकांक वेपार मेळो खास रुपान आकर्शीत करता.,Positive
This irrigation technique is the simplest and cheapest.,शिंपणेचो हो तंत्र सगळ्यांत सरळ आनी सवाय आसता.,Neutral
Small flowers of Bhringraj appear from March to September.,भृंगराजाचीं ल्हान ल्हान फुलां मार्च ते सप्टेंबर मेरेन दिसतात.,Negative
One can come here by train from Madgaon.,मडगांव सावन रेल्वेंतल्यान हांगा यो वच करूं येता.,Neutral
Delhi is famous for its Mughal food for food.,खावपा पियेवपाक दिल्ली आपल्या मुगल जेवणा खातीर फामाद आसा.,Positive
Press has put restrictions on freedom of expression.,प्रॅसाच्या अभिव्यक्तीचो स्वतंत्रातेयेर अंकूश लायलो.,Neutral
Mumbai Police Commissioner Rakesh Morea and past victims.,मुबंय पुलीस कमिशनर राकेश मोरिया आनी पिडीतांची कसली स्थिती जाली.,Negative
The mint with small leaves is aromatic and fragrant.,ल्हान ल्हान पानांचो वट्टेलांव.,Negative
One by itself due to its ill effects.,एक स्वता आपल्या वायट प्रभावाक लागून.,Negative
From metros are seeing these Hollywood films in small towns.,म्हानगरां ते ल्हान नगरांनी हे हॉलीवूड सिनेमा पळयतात.,Negative
He won the National Award for last year 'Dirty Picture'.,तिका फाटल्या वर्सा  डर्टी पिक्चर  खातीर राष्ट्रीय पुरस्कार मेळ्ळो.,Negative
Unable to communicate with others in social phobia.,सामाजीक फोबियांत दुसर्‍यांच्या दोळ्यांक दोळो दिवन उलोवपाक शकनासप.,Negative
Keep your bedroom environment as calm and comfortable as possible.,तुमचे न्हिदपाचे कुडीचें वातावरण जितलें जमत तितलें शांत आनी आरामशीर करून दवरात.,Positive
"By doing this, nozzle can be easily poured in.",अशें केल्ल्यान नॉजल सोपेंपणान भितर घालूंक येता.,Positive
Training for the blind and orthopedically challenged is required.,कुड्ड्यांक आनी हाडांच्या अपंगूळ व्यक्‍तींक चलपा भोंवपा खातीर प्रशिक्षणाची गरज आसता.,Negative
Repeat this process until the cold is cured.,जे मेरेन थंडी बरी जायना ते मेरेन ही प्रक्रिया चालू दवरात.,Negative
"Food should be rich in minerals, salts and vitamin-B.","जेवणांत खनीज, मीठ आनी बी जिवनसत्व भरपूर आसपाक जाय.",Positive
It is the most reliable test to detect microalbuminuria.,माइक्रोएल्बुमिन्युरियाची खबर काडपा खातीर ही सगल्यांत विश्वासाची चांचणी.,Positive
"Also, animals that are diseased are often killed for meat.","वांगडा, मासा खातीर चडश्या असल्या जनावरांची हत्या करतात जे पिडेस्त आसतात.",Negative
Allow mineral mixture allowed in the regular diet and salt.,सगळ्या जनावरांक नियमीत जेवणांत खनीज मिश्रण आनी मीठ दिवचें.,Neutral
People here like to live life in a carefree manner.,हांगाचे लोक सुसेगादपणांत जगप पसंद करतात.,Neutral
We were tiredly looking at the camel's convoy.,आमी थकिल्लीं टक लावन त्या उंटांच्या कळपाक पळयतालीं.,Negative
"Bhojwasa, Chidwasa are the places to stay on the way.","रस्त्यांत भोजवासाक , चिडवासाक रावपाच्यो सुवातो आसात.",Neutral
The nearest railway station from Malayal Kalagramam is Mahi.,मलयाल कलाग्राममाक लागींचें रेल्वे स्टेशन म्हणल्यार माही.,Neutral
In which the ancient stone idol of Dundiraj is installed.,जातूंत दुंडिराजाची पुर्विल्ली पाशाणी मुर्ती स्थापिल्ली आसा.,Neutral
It is an experience where we are at risk together.,हांगा एक असो अणभव येता जंय आमी मेळून घातांत रावतात.,Neutral
A condom is a thin membrane made of latex.,कॉण्डोम ( निरोध ) लेटॅक्साचो तयार केल्लो पातळ पापुद्रो.,Negative
Nitrogen fertilizer viewed the reduction in tidal yields using late.,नायट्रोजन रासायनीक सार्‍याक प्रयोग करतकच ज्वारीचें उत्पन्न कमी जालां.,Negative
"So things late, they will arrive at the farm.",इतलें म्हटल्यार उलयत उलयत तें शेतांत पावलें.,Negative
Walk at a brisk pace for 30 minutes.,३० मिणटां चड वेगान चलात.,Neutral
Eating flaxseed oil in the ear ends ear pain.,सणबियांचें तेल दुगदुगीत करून कानांत घाल्यार कानाची दूख पयस वता.,Neutral
The gallery contains paintings of many famous painters.,चित्रप्रदर्शनालयांत कितल्याश्याच प्रसिद्‍द चित्रकारांचीं चित्रां आसात.,Positive
Vishwanath Temple is famous for its exquisite sculpture.,विश्वनाथाचें देवूळ आपले उत्कृश्ट मुर्तीकले खातीर फामाद आसा.,Positive
Interstitial cystitis is also known as Painful bladder syndrome.,इण्टरस्टिशीयल सिस्टायटीस दुयेंसाक पेनफूल ब्लॅडर सिण्ड्रोम अशेंय म्हणटात.,Negative
Applying this ointment on the piles is very beneficial.,हें मलम भगंदराक लायिल्ल्यान खूब फायदो जाता.,Neutral
Onion juice is considered useful in tooth pain.,दांतांचे दुखींत कांद्याचो रोस उपेगी मानतात.,Positive
Cave number five depicts the Varaha avatar of Lord Vishnu.,होंवरी क्रमांक पांचांत विष्णू देवाच्या वराह अवताराचें चित्रण आसा.,Neutral
Boating facilities are also available at the Rankini temple.,रंकिणी देवळा लागीं बोटींग करपाचें सोंपेपण आसा.,Positive
The writing is elegant plays are available today.,शिश्ट नाटकांचें लिखीत रूप जाल्ल्यान आयज ते मेळटात.,Positive
There is a huge peepal tree at this place.,हे सुवातेर एक विशाळ पिपळाचो रूख आसा.,Positive
Nor has there been a cold when the weather changes.,मोसम बदलतकच बारखुणूय जावंक ना.,Negative
Black coffee helps in waking up late at night.,ब्लॅक कॉफी जागरण करपाक मदत करता.,Negative
Ellora caves have been constructed by cutting high-rock rocks.,एलोरा होंवर्‍यांचें निर्माण कार्य ऊंच कठोर खडपां कातरून केलां.,Negative
And about half of them leave the treatment in between.,आनी तातूंतले सुमार अर्दे लोक उपचार अर्द्यारूच सोडटात.,Neutral
The amazing Thaneshwar Mahadev Temple is located in Thaneswar.,अदभूत थानेश्वर महादेवाचें देवूळ थानेश्वरांत आसा.,Positive
About fifty thousand people arrive to view the parade.,सुमार पन्नास हजार लोक परेडीचो देखावो पळोवपाक येतात.,Negative
"Divergence, not being able to concentrate in one place.","चंचळटाय निर्माण जावप, एके सुवातेर लक्ष लागनासप.",Positive
Tourism is the biggest base of Rajasthan's economy.,पर्यटन राजस्थानाचे अर्थवेवस्थेचो सगल्यांत व्हड आदार.,Negative
Make a rule not to eat more things together.,चड जिनस एकाच बाराबर मेळोवन खायनासपाचो नेम करात.,Positive
"The patient may faint, but does not have fever.","दुयेंती बेशुद्ध जावं येता, पूण ताका जोर आसना.",Negative
"By failing to prepare, you are preparing to fail.",तयारी करूंक अपेशी थारप म्हणल्यार अपेशी थारपाची तयारी करप.,Negative
Conducting legs have also been given at least three distinctions.,पायांच्या संचालनाचें लेगीत तीन प्रकार सांगल्यात.,Negative
The second main crop of Hungary is maize.,मको हो हंगरीचे दुसरें मुखेल पीक.,Neutral
Thus their costumes all day are the same.,हे तरेन तांचो भेस सगळ्या दिसांक एकाच भशेन आसता.,Neutral
Breathing stops in a healthy person for about 15 seconds.,भलायकेवंत व्यक्‍ती भितर स्वास आडखळपाची क्रिया सुमार १५ सॅकण्डां मेरेन आसता.,Positive
Healthy victims of orthorexia focus too heavily on food.,"ऑर्थोरॅक्सियाचे पिडेस्त, भलायकेवंत खाणाचेर हिसपा भायर लक्ष केंद्रीत करतात.",Neutral
It is also helpful for weak and dry children.,दुबळ्या आनी सुकिल्ल्या भुरग्यां खातीर लेगीत हें खूब फायद्याचें.,Negative
"Overall, your journey will be a memorable experience.",सगली मेळून तुमची भोंवडी एक यादीचो अणभव जातली.,Positive
Puducherry can be reached by road from Chennai.,चेन्नय सावन रस्त्या मार्गान पुडुचेरी वचूं येता.,Neutral
Increase of bad cholesterol due to increase in homocysteine.,होमोसिस्टीन वाडिल्ल्यान वायट कॉलेस्ट्रॉल चड जावप.,Negative
"Do not buy tea, coffee, cold drinks for children.","भुरग्यां खातीर च्या, कॉफी, कोल्ड ड्रींक, बी विकतीं घेवं नाकात.",Negative
Sahastradhara is the main scenic spot in Dehradun.,सहस्त्रधारा ही देहरादूनाची पळोवपाची मुखेल सुवात.,Neutral
Change your clothes when you get home from the parlor.,पार्लरांतल्यान घरा आयले उपरांत तुमचे कपडे बदलात.,Neutral
Market to news from the impact of press boss culture.,बाजार संस्कृतीचो प्रभाव प्रॅस मालका पसून संवाददात्या मेरेन आसा.,Neutral
"Autonomic neuropathy leads to gastrointestinal, bladder, and sexual dysfunction.","ऑटोनोमीक न्युरोपॅथीक लागून पोट, मुत्राशय आनी यौनांगां मदीं थुलथुलसाण येता.",Positive
Most stones in the gallbladder are made up of cholesterol.,पित्ताशयांत चडशे फातर कॉलॅस्ट्रॉलान जातात.,Positive
Skin cancer often manifests as a small tumor.,कातीचो कॅन्सर सदांच एक ल्हान गांठीच्या रुपान प्रकट जाता.,Negative
He often luxuries was considered as an expensive commodity.,ताका चडशे विलासीपणाची म्हारग वस्तूच समजताले.,Negative
Then the devotees again leaned behind the bat.,तेन्ना वचून दर्शनार्थी परत खुंटां फाटल्यान बसले.,Negative
Mehndi is helpful in removing dead skin of the head.,तकलेची मेल्ली कात काडून उडोवपांत मेथी मजत करता.,Neutral
Water has the unique ability to nature cure.,उदकांत सैमीक उपचाराची अदभूत तांक आसता.,Positive
Both routes are open only from June to November.,दोनूय रस्ते जूना सावन नोवेंबरा मेरेन उकते आसतात.,Neutral
The Shani temple in Juni Indore is worth visiting.,जुनी इंदोराक आशिल्लें शनीचें देवूळ पळोवपा सारकें आसा.,Positive
A fever is often accompanied by cough and cold.,खोंकली आनी थंडे वांगडा लेगीत चडसो जोर येता.,Negative
Many medicines are available to address such problems.,अशे तरेन समस्यांतल्यान समाधान मेळोवपाचीं कितलिशींच वखदां आसात.,Positive
There are high peaks and deep narrow passages here.,हांगा ऊंच तेंगश्यो आनी खोल अशीर मार्ग आसात.,Neutral
The intelligentsia is accepted as a natural process.,शिक्षीत समुदायांत परिवर्तन एक स्वाभावीक प्रक्रियेच्या रूपांत स्विकारतात.,Neutral
Water should not be consumed under special circumstances.,उदकाचें विशेश परिस्थितींनी सेवन करचें न्हय.,Positive
It is very important to have regular check-ups during pregnancy.,गुरवारपणांत नेमान तपासणी करीत रावप खूब गरजेचें.,Positive
"From this point of view, people are really becoming adventurous.",हे नदरेंतल्यान पळयत जाल्यार लोक खरेपणान एडवॅञ्चरस जावपाक लागल्यात.,Positive
This employment oriented theme will attract more youth.,काम दिवपा संबंदी हो विशय तरणाट्यांक चड आकर्शीत करतलो.,Positive
"Earlier, Arunachal Pradesh was known as North-East Frontier Area (NEFA).",आदीं अरूणाचल प्रदेशाक नॉर्थ इस्ट फ्रण्टियर एरिया ( नेफा ) ह्या नांवान वळखताले.,Neutral
"First, grease is applied to the walls of the intestines.",पयलीं तेल पावल्यार आंतकड्याचे अस्तर चिकचिकीत जातात.,Positive
There will be special facilities for media and journalists.,माध्यमां आनी पत्रकारां खातीर खास वेवस्था आसतली.,Positive
Medicine Complete relief should be given to the affected part.,उपचार पिडिल्ल्या भागाक पुराय सुसेग दिवंक जाय.,Neutral
Thiruvananthapuram is just 20 minutes away from Kovalam.,कोवलम सावन तिरूअनंतपूरम फकत २० मिणटांच्या अंतराचेर आसा.,Neutral
The major attractions of Ramaklamed are the mountain ranges.,रामाकलमेडाचें मुखेल आकर्शण दोंगरमाळो आसा.,Neutral
There are many buses from Dumka to here.,दुमका सावन कितल्योश्योच बसी हांगा आसात.,Positive
"Pachmarhi's forests, mountains, waterfalls, deep trenches, etc. attract every tourist.","पचमढीचें रान , दोंगर , झरे , खोल खाडी , बी दरेका भोंवडेकाराक आकर्शीत करतात.",Neutral
Only attended and Sॊd Indian civilization and culture.,फकत भारतीय सभ्यताय आनी संस्कृतायेचेर अभ्यास आनी सोद करताले.,Neutral
Every income bracket finds a suitable place to live.,दरेका येणावळ वर्गा प्रमाण रावचे खातीर बरी सुवात मेळटा.,Positive
"Actually, excessive water kills the good bacteria in the vagina.",खरें म्हणल्यार चडांत चड उदक मारिल्ल्यान योनींत आशिल्ल्यो बर्‍यो बॅक्टेरिया व्हांवतात.,Positive
What are the things that we have done unnecessarily.,खंयच्यो गजाली अश्यो आसात ज्यो आमी कारणा विरयत केल्यात.,Negative
Madhya Pradesh is world famous for its art and culture.,मध्य प्रदेश आपले कलेक आनी संस्कृतायेक लागून संवसारभर फामाद आसा.,Positive
It is used in both human and animal food.,हाचो उपेग मनीस तशेंच जनावरां दोनांयच्या जेवणांत जाता.,Neutral
The ship palace was built by Parmar Raja Munj.,जहाज महालाचें निर्माण परमार राज मुंजान केल्लें.,Neutral
Told that should never trust the evil enemy.,सांगिल्ले न्हय दुश्ट आनी दुस्मानांचेर केन्नाच विस्वास दवरपाक जायना.,Negative
"Apply cucumber juice on the face, you will get relief.","तोंडार तवश्याचो रोस लायात, सुसेग मेळटलो.",Neutral
Almond and jojoba oils prove to be good purifiers.,बदाम आनी जोजोबाचें तेल बरें जिरपी सिद्ध जाल्ल्यात.,Positive
"Likewise, water-logged layer and wet ice are also dangerous.",अशे तरेन उदकाच्या कणांनी धरपी थर आनी वलो झेल लेगीत भयानक आसता.,Negative
"Meanwhile, when I asked him what he liked best here.",त्या वेळार हांवें तांकां विचारलें तुमकां हांगा सगल्यांत चड कितें आवडटा.,Positive
This is an important place to climb rocks.,खडपांचेर चडपाची ही एक म्हत्वाची सुवात.,Positive
Khan Sahib was very much attached to the obsolete ragas.,खाँ सायबाक अप्रचलीत रागां कडेन खूब ओड आशिल्ली.,Positive
Some students in any major class will be unusual.,खंयच्याय व्हडल्या वर्गांत कांय विद्यार्थी असामान्य आसतले,Neutral
Chhoti Mata Small MasuricaThis is a type of infectious disease.,फुगांवहें एके तरेचें संसर्गीक दुयेंस.,Negative
"After some time, friend returns, he again to South Africa.","कांय काळान इश्टीण येता, तिका परत दक्षीण अफ्रिका वचपाचे आसता.",Neutral
Looks like a flat surface on a flat surface.,सपाट सुवातेर धवो गालिचो पातळयला अशें दिसता.,Neutral
She was originally a large lizard found in Thailand.,ती मुदलांत थायलॅण्डाक मेळपी व्हडशी पाल आशिल्ली.,Positive
It smiles when I see my baby in week six.,स सप्तकांचें बाळक मुरगुट्टा.,Neutral
This place is also witness to many terrible wars.,ही सुवात खूब भयानक झुजांचो पुरावो दिता.,Negative
He was fascinated by the natural beauty of Grand Kenyan.,ग्रॅण्ड केनयानाच्या सैमीक सौंदर्याक पळोवन ते मंत्रमुग्ध जाले.,Positive
Angasura-6: The patient feels mild pain in the chest.,अंगस्चुरा 6 : दुयेंतीच्या हड्ड्यांत मातशी मातशी दूख जाणवता.,Positive
Take a bus guide or map if you want.,तुमकां जाय जाल्यार बस मार्गदर्शक वा नकासोय घेयात.,Neutral
He struggled with the whole bravely and lost their lives.,ताणें खूब धाडसान संघर्श केलो आनी आपलो जीव वगडायलो.,Positive
"And instead of the top slices, use cabbage or lettuce.",आनी वयल्या स्लायसां सुवातेर कोबी वा सालादाच्या पानांचो वापर करात.,Positive
It is also higher in men than in older men.,दादल्या भितरूय हें वयस्क दादल्यांक चड जाता.,Positive
The Alaknanda River at Badrinath comes from the north.,बदरीनाथांत अलकनंदा न्हंय उत्तरे सावन आयल्या.,Neutral
Durg Nagar is famous for the manufacture of cement.,दूर्ग नगर सिमिटाच्या उत्पादना खातीर फामाद आसा.,Positive
"In between, keep massaging the gums with your fingers.",मदीं बोटान हड्ड्यो मालीश करीत रावात.,Neutral
"According to this power, stay for half to three minutes.",हे स्थितींत तांकी प्रमाणें अर्द्या ते तीन मिणटां मेरेन रावात.,Neutral
There are only two plain companies in Maldives.,मालदीवांत दोनूच सी प्लेन कंपन्यो आसात.,Neutral
Which in no time makes the patient weak disabled.,जें रोखडेंच दुयेंतीक दुर्बळ अशक्त करतात.,Negative
The architecture of the 'Cathedral Cathedralis worth visiting.,कॅथलीक कॅथड्रलाचें  वास्तुशिल्प पळोवपा सारकें आसा.,Positive
Thus began the golden age of broadcasting in India.,हे तरेन भारतांत प्रसारणाचें भांगराळें युग सुरू जालें.,Positive
There order divers were keeping security and wines from.,थंय अनुक्रमान खूब तरेचे सुरा आनी सोरो दवरिल्ले आशिल्ले.,Neutral
